height,sex,weight
1.69,M,67.89
1.32,F,32.21
1.77,M,82.71
1.53,F,51.5
1.8,M,85.4
1.63,M,71.18
1.47,F,40.88
1.59,F,48.45
1.77,M,78.99
1.54,F,45.71
1.58,F,46.13
1.75,M,71.58
1.81,M,82.96
1.7,M,69.97
1.78,M,81.88
1.45,F,40.02
1.5,F,45.68
1.86,M,87.43
1.5,F,47.65
1.36,F,35.74
1.62,F,51.78
1.6,F,52.41
1.53,F,43.91
1.63,M,59.54
1.67,M,60.39
1.82,M,81.48
1.78,M,82.78
1.51,F,39.81
1.58,M,60.57
1.72,M,77.13
1.88,M,93.11
1.49,F,43.63
1.8,M,83.43
1.56,M,55.41
1.42,F,40.52
1.72,M,73.68
1.75,M,72.4
1.38,F,37.99
1.47,F,44.3
1.66,M,69.64
1.36,F,40.18
1.54,F,44.83
1.8,M,76.38
1.48,F,40.73
1.66,M,70.5
1.8,M,85.54
1.34,F,38.72
1.39,F,37.81
1.62,M,61.47
1.6,M,61.7
1.68,M,70.16
1.63,M,64.42
1.81,M,87.44
1.76,M,75.56
1.63,M,59.5
1.63,M,63.59
1.51,F,44.51
1.76,M,80.09
1.58,F,55.14
1.49,F,43.41
1.4,F,36.5
1.67,M,73.59
1.38,F,37.85
1.4,F,42.9
1.39,F,35.29
1.54,M,60.17
1.83,M,81.32
1.61,M,68.0
1.68,M,70.17
1.82,M,83.19
1.57,M,62.58
1.43,F,43.4
1.49,F,50.18
1.59,M,62.02
1.62,F,55.05
1.71,M,72.28
1.74,F,62.4
1.54,M,58.79
1.73,M,77.11
1.55,M,65.37
1.66,M,70.81
1.56,F,55.73
1.62,M,65.83
1.69,M,69.99
1.39,F,36.41
1.43,F,41.54
1.49,F,45.4
1.43,F,43.64
1.68,M,69.4
1.78,M,74.71
1.32,F,35.2
1.82,M,85.86
1.69,M,69.57
1.44,F,42.79
1.46,M,49.83
1.53,F,38.53
1.41,F,39.85
1.52,F,47.74
1.79,M,79.62
1.39,F,37.76
