Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
12/03/2015,ACUR,4D,,WHI,Y753941,IL,701 N. Sacramento,(773) 265-7605,6833043
12/03/2015,ACUR,4D,,SIL,3266735,IL,701 N. Sacramento,(773) 265-7605,6833025
12/03/2015,ACUR,4D,,GRY,A421860,IL,701 N. Sacramento,(773) 265-7605,6833027
12/03/2015,ACUR,4D,,GRY,K511765,IL,701 N. Sacramento,(773) 265-7605,6833019
12/03/2015,ACUR,4D,,BLK,4647389,IL,701 N. Sacramento,(773) 265-7605,6832991
12/03/2015,ACUR,LL,,BLK,G081258,IL,10300 S. Doty,(773) 568-8495,2777953
12/03/2015,BMW,2D,,GRY,G881340,IL,701 N. Sacramento,(773) 265-7605,6833015
12/03/2015,BMW,4D,,BLK,1015157,IL,701 N. Sacramento,(773) 265-7605,6833037
12/03/2015,BMW,4D,,SIL,R462682,IL,400 E. Lower Wacker,(312) 744-7550,939045
12/03/2015,BMW,LL,,BLK,EMANX3,IL,10300 S. Doty,(773) 568-8495,2777965
12/03/2015,BUIC,4D,,WHI,Y894384,IL,701 N. Sacramento,(773) 265-7605,6832973
12/03/2015,CADI,4D,,WHI,V829797,IL,701 N. Sacramento,(773) 265-7605,6833067
12/03/2015,CHEV,4D,,RED,Y772852,IL,10300 S. Doty,(773) 568-8495,2777967
12/03/2015,CHEV,4D,,BLK,8093011,IL,701 N. Sacramento,(773) 265-7605,6832971
12/03/2015,CHEV,4D,,BLK,7712631,IL,701 N. Sacramento,(773) 265-7605,6832994
12/03/2015,CHEV,4D,,GRY,V434852,IL,701 N. Sacramento,(773) 265-7605,6833011
12/03/2015,CHEV,4D,,RED,516SNW,WI,400 E. Lower Wacker,(312) 744-7550,939037
12/03/2015,CHEV,4D,,BLK,E387899,IL,400 E. Lower Wacker,(312) 744-7550,939031
12/03/2015,CHEV,4D,,BLK,406S963,IL,10300 S. Doty,(773) 568-8495,2777972
12/03/2015,CHEV,4D,,WHI,BCY1338,AZ,701 N. Sacramento,(773) 265-7605,6833039
12/03/2015,CHEV,4D,,SIL,R355238,IL,400 E. Lower Wacker,(312) 744-7550,939041
12/03/2015,CHEV,4D,,WHI,E393772,IL,701 N. Sacramento,(773) 265-7605,6832965
