temperature,humidity,surface,CFU
18.2,0.5,smooth,38.17083430136533
7.3,0.4,smooth,26.683532377151316
6.0,0.2,smooth,24.73969504205526
26.5,0.1,rough,27.033898419615987
30.6,0.2,smooth,49.976614858053644
16.9,0.4,smooth,36.53208645168726
27.0,0.1,rough,27.5468439443314
31.1,0.5,smooth,51.404828839023025
8.9,0.6,rough,10.503663376723342
9.0,0.8,rough,11.216431452502398
36.6,0.4,smooth,56.74214012547459
21.9,0.8,rough,24.45042599016009
8.7,0.4,rough,9.6883061960012
12.5,0.5,smooth,32.32325531960961
31.5,0.2,rough,32.468443152188115
37.2,0.5,smooth,57.66276424055108
24.2,0.3,rough,25.284527976761055
28.3,0.2,smooth,47.61706544436274
10.6,0.7,smooth,30.98424129652701
24.8,0.1,rough,25.28988363558358
8.3,0.8,rough,10.498307717900822
15.7,0.6,rough,17.479722512852977
12.2,0.4,rough,13.2789248690091
28.3,0.6,smooth,48.837423386034686
36.6,0.1,smooth,55.82687166922062
27.7,0.8,rough,30.400594076858894
13.8,0.3,rough,14.615261062680439
20.6,0.6,smooth,40.93806230541731
24.0,0.6,smooth,44.42609187348212
31.4,0.1,rough,32.06076456182704
17.8,0.5,rough,19.32900423123973
22.9,0.5,rough,24.561048583336955
6.2,0.3,rough,6.818489087006139
33.2,0.8,smooth,54.47446849908172
6.6,0.6,rough,8.144113963032435
39.3,0.2,rough,40.470393337748575
38.2,0.6,smooth,58.99374477539989
19.6,0.2,rough,20.260339663961258
25.6,0.2,rough,26.415685960546227
31.0,0.6,rough,33.17585556914465
14.7,0.1,smooth,33.35985768668548
20.6,0.7,rough,22.811678140482027
5.1,0.3,rough,5.690008932632228
6.1,0.3,rough,6.715899982063057
22.1,0.6,smooth,42.47689887956355
23.0,0.4,smooth,42.79002185321532
31.5,0.5,smooth,51.81518525879535
24.9,0.6,smooth,45.34939381796987
24.6,0.7,rough,26.915242338205342
5.5,0.6,rough,7.015633808658524
23.5,0.3,smooth,42.99787789251275
22.9,0.6,rough,24.866138068754942
39.9,0.6,smooth,60.7377595594323
33.3,0.8,rough,36.14558395367153
31.2,0.3,smooth,50.89723897313013
18.5,0.2,rough,19.131859509587343
12.6,0.2,rough,13.079102317945456
15.9,0.3,rough,16.76963226648518
30.2,0.7,rough,32.66023221501798
10.3,0.7,smooth,30.676473981697765
23.8,0.3,smooth,43.305645207341996
11.2,0.5,rough,12.558123304996261
10.9,0.5,smooth,30.681829640520284
23.3,0.7,smooth,44.01305762429853
27.3,0.2,rough,28.159700744578636
11.9,0.8,rough,14.191515495851803
33.1,0.2,rough,34.109868831277446
35.6,0.5,rough,37.58986491110848
13.6,0.2,smooth,32.53646701772956
17.0,0.2,smooth,36.024496585794374
36.1,0.2,smooth,55.6190156299232
25.6,0.3,smooth,45.15224909631749
14.2,0.6,smooth,34.372359589060004
25.7,0.8,smooth,46.78028562835051
22.4,0.5,smooth,42.47957670897481
5.6,0.4,smooth,24.939517593118907
10.5,0.5,rough,11.839999570394678
30.2,0.4,rough,31.744963758764015
38.4,0.5,smooth,58.893833499868066
21.3,0.3,smooth,40.740917583764926
25.1,0.3,smooth,44.63930357160207
17.4,0.4,smooth,37.04503197640268
27.7,0.5,smooth,47.9167992709582
39.1,0.4,smooth,59.30686774905166
13.2,0.6,smooth,33.34646853962918
36.9,0.7,rough,39.53370224620453
32.3,0.5,smooth,52.635898098340014
29.8,0.7,smooth,50.68134944559892
24.2,0.4,smooth,44.02109111253232
14.1,0.6,smooth,34.269770484116926
20.7,0.3,smooth,40.12538295410643
21.3,0.6,smooth,41.65618604001889
21.6,0.1,rough,22.007032277404925
28.7,0.5,rough,30.511216670035758
30.0,0.6,rough,32.149964519713826
19.6,0.2,smooth,38.69181331431453
8.8,0.4,rough,9.790895300944282
27.0,0.3,smooth,46.58849656552065
10.3,0.4,rough,11.329731875090527
39.4,0.6,rough,41.79334038436361
