temperature,humidity,surface,CFU
18.2,0.5,smooth,0
7.3,0.4,smooth,0
6.0,0.2,smooth,0
26.5,0.1,rough,0
30.6,0.2,smooth,0
16.9,0.4,smooth,0
27.0,0.1,rough,0
31.1,0.5,smooth,0
8.9,0.6,rough,0
9.0,0.8,rough,0
36.6,0.4,smooth,0
21.9,0.8,rough,0
8.7,0.4,rough,0
12.5,0.5,smooth,0
31.5,0.2,rough,0
37.2,0.5,smooth,0
24.2,0.3,rough,0
28.3,0.2,smooth,0
10.6,0.7,smooth,0
24.8,0.1,rough,0
8.3,0.8,rough,0
15.7,0.6,rough,0
12.2,0.4,rough,0
28.3,0.6,smooth,0
36.6,0.1,smooth,0
27.7,0.8,rough,0
13.8,0.3,rough,0
20.6,0.6,smooth,0
24.0,0.6,smooth,0
31.4,0.1,rough,0
17.8,0.5,rough,0
22.9,0.5,rough,0
6.2,0.3,rough,0
33.2,0.8,smooth,0
6.6,0.6,rough,0
39.3,0.2,rough,0
38.2,0.6,smooth,0
19.6,0.2,rough,0
25.6,0.2,rough,0
31.0,0.6,rough,0
14.7,0.1,smooth,0
20.6,0.7,rough,0
5.1,0.3,rough,0
6.1,0.3,rough,0
22.1,0.6,smooth,0
23.0,0.4,smooth,0
31.5,0.5,smooth,0
24.9,0.6,smooth,0
24.6,0.7,rough,0
5.5,0.6,rough,0
23.5,0.3,smooth,0
22.9,0.6,rough,0
39.9,0.6,smooth,0
33.3,0.8,rough,0
31.2,0.3,smooth,0
18.5,0.2,rough,0
12.6,0.2,rough,0
15.9,0.3,rough,0
30.2,0.7,rough,0
10.3,0.7,smooth,0
23.8,0.3,smooth,0
11.2,0.5,rough,0
10.9,0.5,smooth,0
23.3,0.7,smooth,0
27.3,0.2,rough,0
11.9,0.8,rough,0
33.1,0.2,rough,0
35.6,0.5,rough,0
13.6,0.2,smooth,0
17.0,0.2,smooth,0
36.1,0.2,smooth,0
25.6,0.3,smooth,0
14.2,0.6,smooth,0
25.7,0.8,smooth,0
22.4,0.5,smooth,0
5.6,0.4,smooth,0
10.5,0.5,rough,0
30.2,0.4,rough,0
38.4,0.5,smooth,0
21.3,0.3,smooth,0
25.1,0.3,smooth,0
17.4,0.4,smooth,0
27.7,0.5,smooth,0
39.1,0.4,smooth,0
13.2,0.6,smooth,0
36.9,0.7,rough,0
32.3,0.5,smooth,0
29.8,0.7,smooth,0
24.2,0.4,smooth,0
14.1,0.6,smooth,0
20.7,0.3,smooth,0
21.3,0.6,smooth,0
21.6,0.1,rough,0
28.7,0.5,rough,0
30.0,0.6,rough,0
19.6,0.2,smooth,0
8.8,0.4,rough,0
27.0,0.3,smooth,0
10.3,0.4,rough,0
39.4,0.6,rough,0
